ЕЖЕМЕСЯЧНЫЙ ОТЧЕТ М2 - КАЛЬКУЛЯТОР KPI
Имя М2:,,,,Месяц / Год:,,
Базовый бонус ($):,,500,,Итоговый бонус ($):,,
РАЗДЕЛ 1 - БАЗОВЫЕ ОБЯЗАННОСТИ (бонус не начисляется)
№,Базовая обязанность,,,,"Выполнено?
(Да/Нет)",Комментарий
1,"Staffing на свои проекты (прескрин и подбор кандидатов, подготовка кандидатов)",,,,,
2,"Определение и сбор метрик качества работы на проекте для каждого сотрудника (не реже, чем раз в месяц)",,,,,
3,"Статус в чат стратегии по статусу проекта и его команде (не реже, чем 1 раз в месяц)",,,,,
4,Онбординг на проект + статус в чат стратегии об итоге онбординга,,,,,
5,Каждый сотрудник имеет план развития проекта и себя в рамках проекта,,,,,
6,Актуальный план развития каждого проекта,,,,,
7,Отсутствие негативных фидбеков с проекта по QA команде,,,,,
8,Оффбординг сотрудника с проекта,,,,,
9,Саппорт сотрудников по любым проектным вопросам,,,,,
10,Заполнение статус-ботов,,,,,
11,"Контроль легенды и Security на проекте (VPN, MDM, Zadarma, etc)",,,,,
12,Регулярный сбор фидбеков с проекта,,,,,
13,Отсутствие стопа ставок по нашей вине,,,,,
14,"Постоянно держать up to date Таблицу загрузки (на 2 месяца вперед. Идем по негативному сценарию: если не уверены в продолжение ставки или заходе не проект, ставим 0 часов)",,,,,
15,12 единиц проекты + FTE (пример: 4 проекта и 8 ставок = 12),,,,,
Статус раздела 1,,,,,,
РАЗДЕЛ 2 - KPI / БОНУСЫ / ШТРАФЫ
№,Коэффициент / условие,Коэф. / бонус,"Выполнено?
(Да/Нет)",Количество,Сумма ($),Примечание,Подтверждение / ссылка / комментарий
1,Позитивные фидбеки с проекта по сотруднику,+0.1,,,,Указать кол-во сотрудников / фидбеков,
2,Подготовка команды ко встрече с клиентом,+0.1,,,,Бонус после успешной встречи с клиентом,
3,Организация передачи техники,+0.05,,,,Бонус после того, как техника доехала,
4,Сотрудник на проекте поднял грейд (в рамках проекта),+0.1,,,,Указать кол-во сотрудников,
5,Сотрудник на проекте занял Lead/Manager позицию,+0.2,,,,Указать кол-во сотрудников,
6,Маркетинг кейс проекта - выставленный на сайт,+0.15,,,,,
7,"Подготовка и сдача на сертификат, нужный для проекта",+0.1,,,,Указать кол-во сертификатов / сотрудников,
8,Проведение воркшопов/митапов на проекте,+0.1,,,,Указать кол-во воркшопов если больше одного,
9,Внедрение улучшений на проекте,+0.1,,,,Измеримый эффект: регресс / релизы / инструменты / процессы,
10,"Успешный релиз (в срок, с высоким качеством, с позитивным фидбеком)",+0.2,,,,Релиз раз в 2 месяца или реже,
11,Успешное завершение проекта,+0.2,,,,С позитивным финальным фидбеком / референсом,
12,Выход на клиента напрямую,+0.3,,,,Direct communication / direct contract,
13,Увеличили рейт на проекте,+0.1,,,,,
14,Провел замену нерентабельной ставки,+0.2,,,,,
15,Больше 12 единиц проекты + FTE. За каждую единицу,+0.1,,,,Указать кол-во единиц сверх 12,
16,Вырастил DC на проекте (на проекте должно быть 2 и более сотрудников),+200$,,,,Фиксированный бонус. Кол-во можно указать если несколько кейсов,
17,Вырастил М2,+200$,,,,Фиксированный бонус,
18,"Upsale на проекте - сотрудник сам, без помощи М2",+300$,,,,Фиксированный бонус,
19,Upsale на проекте - совместная работа М2 и сотрудника,+150$,,,,Фиксированный бонус,
20,Upsale на проекте - М2 сам все проверил,+200$,,,,Фиксированный бонус,
21,Подготовка к старту проекта,+200$,,,,Фиксированный бонус после 1 месяца успешной работы проекта,
22,За каждые 1000 пейдов на 1 ставку FTE,+50$,,,,Указать сумму пейдов по всем FTE. Округление вниз до 1000,
24,Таймшиты заполнены вовремя,+0.05,,,,,
25,Незапланированный уход инженера с проекта,-0.5,,,,Штраф. Указать кол-во случаев если больше одного,
26,Меньше 12 единиц проекты + FTE. За каждую единицу,-0.1,,,,Указать кол-во единиц ниже 12. Нечетное округляется вниз,
27,"Нарушение требований Security (спалили IP, не установлен MDM)",ЛИШЕНИЕ БОНУСА,,,,При нарушении итоговый бонус = 0,
28,Слет ставки БЕЗ предупреждения,-0.5,,,,Штраф,
29,Слет ставки С предупреждением,-0.25,,,,Штраф,
30,Плохой фидбек с проекта (повторно),-0.5,,,,Штраф,
31,Плохой фидбек с проекта,-0.25,,,,Штраф,
32,Каждая FTE в инвест фонде,-0.1,,,,Штраф. Указать кол-во FTE,
33,Таймшиты заполнены не вовремя,-0.15,,,,Штраф,
ИТОГО - сумма по KPI,,,,,,
"Инструкция: заполнять только данными за отчетный месяц. Если подтверждения нет, оставить ячейку пустой или задать вопрос владельцу отчета."
