"№","Раздел","Пункт","Применимо к проекту","Статус","Обоснование (если Нет / Не применимо)","Согласовано с М2 и командой","Owner","Дата","Комментарии"
"1.1","Требования и документация","Имеются ли на проекте чёткие требования?","","","","","","",""
"1.2","Требования и документация","Написана ли high-level тестовая документация (тест-план, тест-стратегия)? Если нет — почему?","","","","","","",""
"1.3","Требования и документация","Согласован ли тест-план и scope тестирования с командой и клиентом?","","","","","","",""
"2.1","Роли и ответственность","Есть ли на проекте BA? Если нет — кто выполняет его функции?","","","","","","",""
"2.2","Роли и ответственность","Определена ли роль QA в проекте? В чём зона ответственности QA?","","","","","","",""
"2.3","Роли и ответственность","Кто принимает решение о готовности релиза?","","","","","","",""
"2.4","Роли и ответственность","Кто может закрывать задачи?","","","","","","",""
"3.1","Инфраструктура и окружение","Есть ли выделенный QA environment? Если нет — где проводится тестирование?","","","","","","",""
"4.1","Коммуникация","Участвует ли QA в коммуникации с заказчиком напрямую (митинги, переписка, обсуждения)? Если нет — как организована передача информации?","","","","","","",""
"5.1","Тестовая документация и инструменты","Заложено ли написание тестовой документации (тест-кейсы / чек-листы) в paid часы?","","","","","","",""
"5.2","Тестовая документация и инструменты","Какие системы тест-менеджмента используются и почему?","","","","","","",""
"6.1","Качество и виды тестирования","Определены ли нефункциональные требования?","","","","","","",""
"6.2","Качество и виды тестирования","Определены ли соответствующие виды тестирования?","","","","","","",""
"7.1","Процессы разработки","Определён ли жизненный цикл story / feature (статусы, переходы, правила workflow)?","","","","","","",""
"7.2","Процессы разработки","Определены ли критерии приёмки (внутри команды и со стороны клиента)?","","","","","","",""
"8.1","Баги и дефекты","Определены ли правила заведения багов?","","","","","","",""
"8.2","Баги и дефекты","Определён ли жизненный цикл дефекта?","","","","","","",""
"8.3","Баги и дефекты","Есть ли критерии закрытия багов?","","","","","","",""
"9.1","Регрессионное тестирование","Определён ли подход к регрессии (scope, периодичность, триггеры запуска)?","","","","","","",""
"10.1","Релизы и итерации","Определены ли подходы к релизам и завершению итераций?","","","","","","",""
"10.2","Релизы и итерации","Есть ли Definition of Done (код-фриз, стабилизация релизных билдов, подготовка демо)?","","","","","","",""
"11.1","Управление изменениями","Есть ли механизм работы с изменением scope?","","","","","","",""
"12.1","Quality Gates","Определены ли Quality Gates в процессе разработки?","","","","","","",""
