"Метрика","Пояснение","Owner","2026-S01 (07.01-20.01)","2026-S02 (21.01-03.02)"
"[Базовые метрики: каждый спринт, обязательны на любом проекте]","","","",""
"Тикеты за спринт (QA)","Количество задач, закрытых QA за спринт. Фильтр в трекере по спринту и исполнителю/типу задачи. Если отдельных QA-тикетов нет, считаем задачи разработки, реально проведённые QA через тестирование, и помечаем здесь: относительная величина, отдельных QA-тикетов нет.","<Owner>","18","21"
"Story points за спринт (QA)","Только если проект использует SP. Если не использует, значения пустые, а здесь причина: проект не использует story points. Оценку задним числом не заводим.","<Owner>","21","24"
"Git-активность за спринт (AQA)","Коммиты и добавленные/удалённые строки за спринт, суммарно по AQA-стриму. Только когда _metrics_collector_registry помечает Metrics validity участников как Reliable. На чисто ручном проекте: Не применимо (manual QA stream).","<Owner>","14 коммитов / +820/-310","11 коммитов / +540/-160"
"[Автоматизация: заводится, если на проекте есть автотесты]","","","",""
"Покрытие (грубая оценка)","(число автотестов) / (грубая оценка функциональной поверхности: страницы/компоненты/эндпоинты, что подходит стеку). Не сертифицированный процент, явно оценка. Собирается через Templates\qa_repo_metrics_prompt.md, не ручным подсчётом.","<Owner>","~35%","~38%"
"Количество автотестов","Общее число автотестов, тот же запуск qa_repo_metrics_prompt.md. Даже без деноминатора рост числа тестов сам по себе рабочий сигнал.","<Owner>","142","151"
"Pass rate последнего прогона","Доля прошедших тестов в последнем прогоне спринта (regression или обычный CI). Одна цифра, которую QA-инженер обычно и так знает.","<Owner>","94%","97%"
"Ощущение по flaky-тестам","Короткая качественная оценка одним предложением, не точный процент: стабильно / есть заметные flaky-падения, мешают доверять прогону.","<Owner>","стабильно","3-4 нестабильных теста в UI-наборе"
"[Дефекты]","","","",""
"Снимок открытых/известных багов","Сырое число на конец спринта, если трекер доступен. Если недоступен или баги не тегируются системно, значения пустые, а здесь причина (нет доступа к трекеру / баги не трекаются отдельно от тикетов).","<Owner>","23","19"
"Production bug leakage (Баги, утекшие в прод)","Отдельно от снимка открытых багов: дефекты, найденные ПОСЛЕ релиза, в проде, пользователями/клиентом/бизнесом/продакт-оунером. Где возможно, классифицируй каждый случай: пропуск QA / пробел в требованиях-продукте / проблема окружения-данных-конфигурации / известный принятый риск / неясно, требует триажа. Если точное число неизвестно, качественное значение с опорой на свидетельства.","<Owner>","утечек не подтверждено","1 подтверждённый случай (пропуск QA)"
